study_hours,revision_time,previous_grade,attendance_rate,understanding_level,sleep_hours,phone_time,stress_level,motivation_level,focus_level,pass_exam
0,0,45,63,7,6,5,8,2,7,0
6,2,48,66,9,4,4,7,3,8,1
6,2,40,64,8,4,2,1,1,5,1
3,1,51,61,4,8,1,10,3,10,0
4,2,97,65,6,8,4,4,5,1,1
0,3,53,81,1,8,2,8,4,8,0
5,0,45,72,8,5,1,9,10,10,1
0,1,40,87,6,5,2,6,1,3,0
2,3,61,83,2,6,3,4,5,4,1
4,0,73,83,8,4,2,2,3,10,1
5,3,95,65,4,7,3,9,10,7,1
7,1,50,83,9,4,3,1,7,9,1
5,1,42,89,4,5,5,5,10,4,0
1,3,81,56,1,6,2,8,8,4,1
3,0,45,82,7,7,3,4,5,6,0
1,2,45,53,10,8,5,1,10,9,1
5,2,59,92,5,8,1,4,8,4,1
4,3,60,56,10,5,3,5,6,10,1
0,1,41,67,5,6,0,5,6,8,0
7,0,65,53,4,4,1,1,5,3,1
0,0,70,98,6,5,5,2,10,2,0
4,1,65,60,1,4,1,6,6,4,0
5,2,95,92,3,7,1,10,1,4,1
6,0,71,69,7,4,0,5,8,7,1
0,3,49,60,8,7,0,9,5,7,1
6,2,62,64,9,6,0,7,8,9,1
0,3,97,95,1,5,0,5,3,10,1
0,2,45,66,4,4,5,9,10,2,0
7,1,62,83,2,6,0,1,6,4,1
3,3,67,99,2,6,5,3,1,3,0
3,3,88,97,1,4,5,2,1,3,0
2,1,69,61,5,8,4,7,4,7,0
1,3,53,91,2,8,4,9,10,10,1
4,2,76,77,4,7,0,2,6,6,1
4,0,94,97,9,6,5,6,3,3,0
4,0,71,84,3,5,1,2,5,8,1
2,1,88,57,8,5,3,3,10,8,1
3,2,73,76,10,6,3,1,4,7,1
5,3,80,71,6,8,4,6,10,9,1
6,3,83,73,10,6,0,2,3,3,1
7,0,90,51,5,7,2,3,9,5,1
6,3,61,80,2,6,3,6,4,6,1
5,0,70,71,3,4,5,6,10,9,0
7,1,46,50,8,8,5,4,7,4,1
2,3,80,63,9,4,3,1,5,5,1
5,2,60,74,7,4,1,7,7,9,1
4,3,55,85,1,6,3,2,5,4,1
1,0,59,85,6,6,4,6,3,2,0
0,1,82,90,7,5,0,7,6,9,1
6,0,83,52,6,4,0,2,9,3,1
3,3,86,54,10,6,5,6,6,6,1
3,0,89,50,2,5,3,1,4,9,0
2,0,58,68,9,4,2,6,1,3,0
7,1,87,82,3,5,4,8,3,8,1
3,2,71,91,6,8,5,8,3,9,1
4,3,54,79,6,7,3,7,2,3,1
6,1,44,61,8,4,4,4,10,3,1
5,2,50,59,4,6,2,4,2,4,1
4,0,54,83,6,8,5,5,8,1,0
2,2,68,65,1,5,4,8,8,2,0
4,0,89,89,9,7,5,4,3,1,0
5,0,84,95,9,4,4,9,4,3,0
1,1,43,78,7,7,4,3,5,6,0
2,0,88,64,1,8,5,9,9,8,0
1,1,75,97,3,7,0,2,5,5,1
0,2,87,60,5,4,2,6,6,8,0
1,2,62,93,4,8,5,5,7,6,0
0,0,54,83,5,5,0,5,2,1,0
0,1,85,85,7,4,1,6,4,3,0
1,0,83,79,9,7,3,10,6,2,0
2,1,42,84,1,4,5,7,4,6,0
7,1,71,58,5,8,0,4,5,8,1
5,1,49,67,3,7,5,4,3,6,0
4,2,79,68,3,5,5,9,2,4,0
4,1,77,88,2,6,5,4,1,4,0
5,2,61,53,6,5,4,8,3,9,0
6,1,53,55,6,4,1,10,10,1,1
6,2,56,100,3,6,2,1,9,2,1
0,3,60,82,1,8,2,4,1,4,0
0,2,90,81,7,7,5,2,8,3,1
2,2,87,65,2,7,0,10,5,9,1
3,0,54,60,8,8,5,5,4,5,0
1,1,97,71,3,4,4,2,5,8,0
0,3,54,85,1,5,4,7,7,4,0
4,0,40,99,10,6,5,10,8,4,0
2,1,63,72,9,8,2,7,2,10,1
1,3,94,75,5,4,4,9,6,3,0
2,3,94,80,1,4,3,4,4,9,1
1,3,51,78,10,6,0,5,8,10,1
1,1,49,54,6,8,0,3,4,2,0
5,3,85,87,10,5,4,7,3,3,1
0,3,81,74,3,5,2,5,5,3,0
7,0,81,83,4,8,5,9,4,3,0
2,2,91,61,8,7,3,7,5,4,1
7,1,70,71,5,5,3,4,9,5,1
2,2,50,58,6,7,5,7,3,6,0
5,0,93,69,10,8,3,1,2,5,1
4,2,55,78,4,4,1,2,2,9,1
7,3,48,93,6,8,4,3,9,7,1
4,3,86,78,3,4,3,5,7,7,1
6,1,53,94,10,8,4,5,10,7,1
0,1,58,76,1,7,2,7,4,7,0
0,1,70,66,6,7,2,9,6,2,0
3,0,48,54,1,8,5,10,10,8,0
5,1,75,94,10,4,2,9,6,10,1
4,0,92,62,3,8,1,6,3,1,0
1,3,78,91,8,4,2,7,9,6,1
2,2,93,64,7,7,4,8,4,3,0
0,3,65,64,8,6,0,4,1,6,1
7,3,47,67,10,5,0,7,2,6,1
2,3,63,99,10,7,4,6,5,8,1
2,1,47,51,2,8,0,8,8,4,0
3,1,58,72,10,8,3,1,7,3,1
4,1,86,92,7,4,0,5,9,2,1
0,2,87,62,4,5,1,3,1,6,0
2,1,69,92,1,7,2,9,2,3,0
0,0,97,53,3,5,0,9,10,4,0
1,3,61,96,5,5,0,3,4,9,1
3,2,94,74,10,7,5,10,7,7,1
1,2,48,60,8,4,1,2,1,1,0
0,2,97,99,2,4,5,5,5,4,0
6,2,97,97,2,4,1,4,2,8,1
7,2,83,91,8,6,0,7,2,10,1
0,0,87,61,9,5,3,8,2,4,0
4,3,43,62,10,6,0,4,9,1,1
2,2,76,58,1,4,3,3,10,10,1
2,3,47,94,2,7,5,9,5,2,0
1,1,40,87,4,5,2,8,8,5,0
7,2,67,55,3,7,4,7,10,6,1
3,2,45,92,1,8,2,8,6,1,0
6,3,86,100,4,5,0,8,1,5,1
5,2,75,92,2,7,0,10,10,8,1
7,2,92,59,10,4,3,8,9,8,1
2,2,50,72,5,6,1,1,7,2,1
4,0,44,64,1,7,5,4,2,9,0
7,0,89,94,8,8,5,10,8,2,1
1,2,63,72,10,4,5,7,2,4,0
1,0,86,89,2,8,3,6,2,10,0
5,1,57,86,3,6,1,3,4,4,1
4,2,59,83,3,8,1,3,8,4,1
3,1,67,65,4,7,1,4,7,7,1
7,3,52,94,7,7,1,10,2,8,1
4,1,44,100,9,4,0,6,10,8,1
3,3,69,90,3,6,4,1,6,4,1
4,2,40,96,1,6,5,10,4,4,0
4,3,61,81,10,5,4,4,10,6,1
0,3,57,87,1,5,2,9,1,9,0
1,1,85,89,6,7,2,7,8,5,1
7,1,44,95,5,8,2,6,8,2,1
4,1,70,54,10,8,3,5,6,9,1
7,2,45,66,7,4,2,2,10,9,1
5,2,66,71,7,6,5,2,7,1,1
4,1,95,88,3,7,2,6,3,9,1
2,2,64,90,7,8,2,9,9,7,1
1,2,68,97,9,5,0,9,4,1,1
2,3,67,67,8,7,2,1,2,2,1
7,3,55,77,3,4,4,7,4,2,1
7,1,93,62,10,7,0,7,2,8,1
1,2,92,99,5,8,1,10,4,1,1
7,3,51,91,8,4,3,2,2,3,1
2,0,59,50,2,5,0,10,8,1,0
4,2,57,99,7,5,0,4,6,5,1
4,0,73,68,10,8,4,8,8,4,1
0,1,94,83,10,4,5,6,1,3,0
5,2,92,53,7,5,5,7,9,8,1
7,1,62,92,8,4,2,10,2,7,1
2,1,84,52,1,7,1,6,8,4,0
7,1,66,90,8,6,4,9,4,1,1
7,1,88,59,1,6,4,10,2,7,0
3,1,56,77,3,6,0,10,1,3,0
0,2,87,83,9,5,1,9,4,5,1
2,0,60,88,4,8,4,6,10,8,0
2,2,89,96,10,6,5,6,1,9,1
7,2,79,68,9,8,3,9,8,10,1
0,2,70,91,1,6,3,10,2,10,0
4,3,42,95,8,7,4,9,8,7,1
2,3,56,85,3,6,0,3,10,6,1
4,2,89,92,7,8,3,7,1,5,1
0,0,97,52,2,5,0,3,7,5,0
4,2,65,72,7,7,2,4,7,4,1
1,1,62,66,7,8,2,9,5,7,0
3,3,45,56,9,4,0,10,3,1,1
6,3,67,75,2,6,4,8,6,3,1
2,2,47,92,8,7,2,6,5,6,1
5,2,94,67,5,5,5,6,9,10,1
3,0,97,95,10,4,2,8,4,1,0
6,0,84,95,9,6,5,2,9,7,1
4,1,47,55,8,7,3,5,10,2,1
2,2,58,80,3,8,4,7,6,7,0
4,2,77,78,3,6,0,3,9,4,1
1,2,68,58,10,7,2,8,3,9,1
0,3,62,84,8,6,4,3,1,5,1
2,1,86,66,9,7,2,4,6,1,1
6,0,71,61,2,8,3,10,4,4,0
6,3,49,85,3,6,4,10,10,4,1
1,3,66,97,8,7,1,6,4,4,1
1,3,88,73,2,4,3,6,4,3,0
7,3,40,59,8,5,0,2,1,3,1
2,1,78,79,5,7,4,2,5,10,1
4,2,68,78,6,7,5,3,9,5,1
5,0,98,88,10,7,2,3,3,5,1
6,0,84,59,4,6,5,4,2,2,0
6,3,42,88,3,5,4,4,2,10,1
1,3,90,77,8,6,0,4,10,10,1
3,1,86,67,9,7,5,10,7,9,1
1,3,76,90,8,7,5,10,6,3,1
5,0,70,99,9,5,5,3,2,4,0
4,0,50,66,1,4,4,1,1,2,0
4,2,61,60,5,6,2,9,7,8,1
3,2,57,50,7,4,5,2,6,7,1
6,0,74,66,8,7,3,3,5,3,1
1,0,45,85,2,7,3,2,5,5,0
7,1,42,85,4,8,2,6,10,1,1
4,1,44,95,7,8,1,6,3,6,1
5,0,48,58,5,4,1,1,5,10,1
2,3,67,94,1,8,3,4,6,6,1
0,2,58,77,2,5,5,10,7,5,0
0,0,67,97,5,4,0,5,7,9,0
0,3,66,82,6,8,4,6,10,4,1
7,0,52,52,1,8,2,5,10,2,0
6,2,77,100,3,5,0,3,8,7,1
1,2,82,57,6,5,5,3,5,5,0
3,1,92,99,6,4,4,3,4,7,1
7,1,60,55,7,6,3,6,7,7,1
7,1,66,55,10,5,2,4,2,7,1
4,1,85,78,3,8,0,4,8,3,1
2,2,45,86,1,4,4,3,4,5,0
7,3,77,61,7,6,3,4,10,1,1
5,3,88,58,3,4,3,8,1,6,1
2,3,50,90,5,8,4,3,2,4,1
5,0,86,98,4,6,1,10,1,2,0
6,1,80,68,1,6,1,3,5,3,1
1,1,92,66,7,5,4,6,1,3,0
0,2,56,97,4,7,4,1,9,1,0
7,2,95,93,1,8,4,10,4,7,1
1,0,78,81,6,7,3,6,10,10,1
6,0,46,84,4,8,5,9,3,3,0
3,3,69,63,4,4,5,3,9,7,1
3,2,60,98,2,7,2,2,4,10,1
6,1,40,65,1,6,3,3,1,10,0
5,3,64,70,3,5,3,3,2,9,1
4,1,71,61,10,8,1,2,4,6,1
4,3,98,73,5,5,4,4,1,8,1
5,1,96,83,9,8,3,8,6,1,1
3,0,47,57,7,6,3,7,7,8,0
3,3,44,93,4,6,4,10,1,8,0
7,1,69,70,8,6,5,9,6,3,1
3,1,90,97,4,6,2,8,3,6,1
1,2,47,57,6,6,1,7,7,6,1
3,3,88,77,1,5,0,6,2,7,1
2,1,58,65,6,4,5,3,2,3,0
7,2,83,59,10,7,3,10,4,10,1
0,1,98,64,5,5,2,4,8,1,0
3,3,94,53,2,7,0,8,3,9,1
5,0,69,75,1,4,5,2,8,6,0
0,3,54,64,6,8,5,6,7,5,0
1,3,75,85,2,4,4,1,5,2,0
5,1,94,81,9,4,0,7,4,4,1
0,1,83,92,9,8,4,4,10,5,1
5,3,66,87,1,7,5,1,10,10,1
1,2,52,53,5,6,5,5,2,4,0
7,2,53,90,8,8,5,5,9,10,1
2,2,76,58,4,8,2,6,4,4,1
1,1,93,84,3,4,5,8,5,6,0
1,1,87,77,5,8,0,4,2,4,1
5,3,69,86,5,5,1,7,2,9,1
7,0,78,96,8,6,2,4,2,2,1
6,1,86,58,6,4,0,2,10,5,1
4,3,52,51,2,7,3,8,2,3,0
3,3,97,52,1,7,0,5,9,8,1
3,0,55,93,3,7,0,10,5,3,0
2,2,83,97,2,7,1,4,6,8,1
2,3,46,54,4,7,2,2,4,8,1
3,3,87,59,3,4,3,7,2,2,0
4,3,94,77,9,5,5,5,3,10,1
3,2,94,64,5,5,2,9,3,7,1
6,2,66,63,4,7,2,7,10,6,1
4,0,84,95,10,5,3,9,8,1,0
2,1,94,72,9,6,3,10,8,2,1
0,2,74,62,4,5,1,10,6,4,0
5,1,54,65,6,8,4,5,10,2,1
6,1,67,79,10,7,1,6,8,5,1
6,2,74,89,1,8,5,8,3,3,0
7,3,46,57,2,8,3,10,7,6,1
2,0,89,66,4,7,0,6,5,9,1
2,1,85,79,9,4,0,4,9,10,1
1,3,89,66,6,5,2,2,9,7,1
6,2,90,84,6,6,2,6,5,5,1
1,1,85,50,9,4,4,9,6,1,0
1,1,59,98,4,6,4,8,1,1,0
5,1,71,73,3,7,4,3,4,1,0
1,3,77,97,7,5,4,5,1,3,0
4,3,79,98,7,4,0,6,4,7,1
3,3,71,74,9,7,3,7,1,9,1
0,1,65,51,6,4,5,2,10,6,0
2,1,97,74,2,8,5,6,4,7,0
4,0,78,63,6,5,4,2,6,3,0
0,0,59,88,8,5,1,8,9,8,0
6,3,57,100,6,7,5,7,2,10,1
6,3,89,82,9,7,4,2,2,6,1
6,2,54,66,4,7,0,4,6,3,1
4,3,91,80,3,5,2,7,10,2,1
4,0,61,59,5,8,1,9,6,9,1
2,0,90,55,3,5,4,3,3,7,0
3,0,61,88,2,7,0,10,2,10,0
7,1,92,74,2,6,2,10,3,10,1
1,1,60,87,4,8,4,8,4,9,0
6,3,41,86,3,5,0,9,4,4,1
5,2,79,79,9,6,0,8,7,4,1
3,2,92,83,7,8,3,4,4,6,1
5,2,82,67,6,5,0,4,10,2,1
2,1,57,73,10,7,4,7,6,10,1
2,0,62,98,8,5,0,4,6,1,0
2,0,52,76,9,8,1,10,10,10,1
0,1,80,76,3,7,0,10,3,3,0
5,2,48,88,10,4,0,7,9,5,1
3,2,88,70,7,6,5,9,10,2,1
7,3,46,68,9,7,1,9,5,9,1
3,3,80,88,1,7,4,9,10,1,1
4,2,93,72,10,8,2,10,9,3,1
4,1,40,88,9,8,3,10,10,5,1
6,2,41,97,7,6,5,6,6,1,1
7,3,43,93,10,8,2,1,6,4,1
4,2,53,96,4,7,4,8,9,10,1
2,1,71,64,6,6,4,6,10,1,0
3,0,75,92,6,6,5,7,5,7,0
5,1,41,51,6,5,1,2,3,1,0
2,1,79,84,2,7,2,3,3,3,0
0,3,89,100,5,7,0,6,2,4,1
4,1,90,69,7,8,1,3,2,4,1
2,1,53,77,6,7,1,5,6,7,1
2,3,59,64,3,8,3,4,8,5,1
0,3,64,65,5,7,1,5,8,8,1
1,0,81,82,8,5,2,8,8,3,0
3,2,88,96,5,7,4,4,10,8,1
5,1,47,61,10,5,5,9,7,9,1
6,3,67,88,3,7,3,3,2,9,1
1,0,85,88,9,7,5,7,10,9,1
4,2,60,92,3,4,5,7,2,1,0
2,3,62,69,2,7,0,1,10,9,1
7,2,71,78,6,5,2,3,7,8,1
0,2,47,92,8,6,0,10,4,2,0
0,1,70,98,6,5,1,1,6,3,0
7,1,76,52,1,7,2,8,9,7,1
3,3,55,97,8,8,5,10,5,3,1
1,2,79,54,1,4,3,5,10,2,0
6,3,81,51,9,8,5,4,4,4,1
3,3,66,72,8,4,3,3,3,9,1
7,2,79,75,6,4,0,7,7,2,1
2,3,80,75,2,8,4,8,7,1,0
7,2,57,56,9,7,5,8,7,10,1
3,2,74,59,8,5,3,1,5,7,1
5,2,88,54,4,8,0,7,10,1,1
0,2,91,96,2,6,4,5,8,6,1
0,0,54,61,6,4,2,2,2,5,0
4,2,92,81,1,5,3,8,4,8,0
4,1,66,91,7,6,3,2,1,3,1
7,1,56,80,1,5,5,6,6,3,0
6,1,79,71,6,7,5,5,6,1,1
2,2,41,66,5,6,0,6,3,4,1
5,1,88,69,10,8,3,10,1,10,1
1,0,89,69,3,5,0,8,5,10,0
3,3,70,92,6,8,3,9,1,6,1
6,2,76,57,4,8,0,3,3,5,1
2,1,80,96,6,5,3,3,8,7,1
4,0,80,83,4,5,2,7,10,10,1
7,3,73,98,1,4,5,3,9,1,1
3,0,73,72,5,4,2,10,3,3,0
4,1,90,87,8,6,0,5,9,4,1
7,0,94,77,6,6,2,10,7,6,1
3,3,98,62,10,6,0,4,8,4,1
1,1,42,78,9,4,5,9,6,7,0
2,3,56,57,4,8,0,8,5,10,1
3,0,53,60,10,7,5,9,10,10,0
5,2,53,96,9,7,1,6,8,3,1
6,2,85,94,8,5,2,2,2,8,1
0,2,77,67,3,4,1,8,7,7,0
5,2,74,99,6,5,5,1,1,3,1
5,3,40,74,4,7,5,5,7,9,1
6,2,87,98,1,5,1,2,6,10,1
0,3,68,71,9,4,5,7,4,5,0
5,1,43,94,4,4,3,5,3,2,0
3,2,72,84,5,4,0,10,9,9,1
3,3,56,78,3,7,4,3,6,8,1
3,2,67,70,4,4,1,7,6,8,1
0,2,89,56,9,6,3,3,1,1,0
5,2,65,61,7,6,2,6,5,4,1
7,3,47,85,8,4,4,4,7,7,1
0,0,73,73,3,6,5,10,4,6,0
3,2,98,81,3,4,0,2,2,9,1
6,2,57,76,7,7,3,9,9,8,1
5,1,70,81,8,6,4,6,6,9,1
5,0,98,81,5,7,0,5,9,4,1
4,3,66,81,1,6,0,5,8,8,1
4,1,55,75,3,8,4,8,1,6,0
1,2,97,60,5,8,3,5,2,9,1
7,1,49,95,3,7,5,8,2,10,1
7,1,79,67,1,6,4,8,2,1,0
2,2,51,88,7,8,1,1,4,6,1
7,0,61,54,1,4,0,4,7,10,1
4,0,55,65,10,5,2,9,7,10,1
0,1,51,60,6,8,5,2,1,2,0
7,2,50,84,6,8,4,4,8,3,1
4,3,59,97,7,4,4,4,4,9,1
1,1,90,60,1,8,0,1,8,5,1
5,3,40,91,3,8,0,10,10,5,1
7,1,66,72,9,8,4,10,9,1,1
1,1,42,83,2,6,2,7,7,10,0
5,2,51,97,5,8,0,1,3,2,1
6,2,69,66,3,5,0,5,3,9,1
6,3,48,59,5,6,1,8,5,7,1
5,3,92,67,7,6,3,4,7,4,1
7,0,93,93,1,7,1,5,7,7,1
2,2,76,57,3,8,2,10,9,10,1
4,1,40,75,6,5,3,3,1,2,0
0,1,81,52,7,5,4,5,3,5,0
0,0,88,73,10,7,2,3,1,9,1
3,2,43,52,3,5,2,4,6,2,0
5,1,54,87,4,6,1,3,10,3,1
0,0,90,51,6,4,3,5,7,5,0
7,0,66,84,5,6,2,2,2,5,1
2,1,47,66,9,4,3,9,9,8,0
5,1,99,58,1,5,5,3,5,7,0
2,3,99,85,5,8,4,10,3,3,1
7,2,62,71,1,4,3,1,7,5,1
0,3,54,80,8,6,1,5,7,8,1
0,0,66,83,7,6,1,4,1,5,0
3,1,70,73,5,6,2,2,6,2,1
0,3,78,58,6,6,3,8,3,10,1
5,0,86,95,4,7,1,9,7,2,1
7,2,47,92,9,5,0,6,5,1,1
6,1,69,51,3,8,1,8,4,6,1
7,3,97,70,2,7,4,2,10,1,1
5,2,94,83,7,5,0,6,7,8,1
5,3,81,76,2,4,3,1,7,1,1
3,0,57,86,6,7,5,10,8,8,0
3,2,43,56,8,7,2,3,5,6,1
0,3,86,71,3,7,0,7,4,9,1
1,2,82,53,3,7,1,1,1,3,1
7,0,61,63,3,4,2,6,4,7,0
7,2,42,83,1,6,5,7,10,2,1
1,3,54,72,9,7,5,3,1,5,1
3,0,74,93,5,5,2,8,7,1,0
0,1,86,91,9,6,2,8,6,5,1
1,3,77,74,5,4,2,5,7,8,1
0,3,72,50,7,8,3,2,8,10,1
0,0,53,100,1,4,3,2,6,3,0
0,0,87,97,9,8,3,5,2,6,0
4,1,40,64,1,5,1,4,2,4,0
5,3,92,81,4,8,3,4,9,8,1
0,0,88,63,7,7,2,5,6,2,0
4,1,65,90,9,6,0,1,6,5,1
3,1,47,70,1,6,0,7,1,6,0
1,0,89,96,6,7,5,3,8,8,0
5,3,55,56,10,6,0,10,8,2,1
6,2,77,85,5,4,0,10,4,9,1
1,2,49,70,3,7,0,8,7,7,1
5,1,81,99,10,7,5,9,9,10,1
6,2,76,89,2,6,4,8,1,4,1
1,2,65,61,1,8,0,2,5,10,1
5,0,67,64,2,5,0,7,8,2,0
1,1,51,64,4,8,0,4,7,8,1
1,3,59,66,6,4,5,5,10,2,0
6,1,88,83,5,7,1,10,4,2,1
1,0,53,93,4,7,4,5,3,9,0
1,2,85,84,8,4,0,9,1,4,1
6,3,74,88,7,5,5,2,3,7,1
3,1,68,87,4,7,5,2,2,10,0
0,2,51,63,10,8,3,3,5,4,1
7,1,91,54,5,4,1,5,1,5,1
2,3,57,79,10,7,5,4,4,1,1
4,1,83,53,5,8,5,10,8,10,1
2,1,41,64,3,4,4,10,9,1,0
2,1,41,88,9,4,3,9,1,10,0
5,2,98,84,5,4,3,3,3,10,1
0,3,56,94,10,5,1,1,6,3,1
5,3,49,59,2,4,5,5,5,6,0
0,2,57,51,4,6,3,8,1,1,0
6,2,61,93,4,6,2,1,2,4,1
6,2,58,73,5,4,1,1,2,9,1
7,0,97,77,8,7,1,6,7,2,1
0,1,92,71,5,6,2,7,6,2,0
1,1,40,93,1,8,1,8,6,2,0
3,3,63,81,2,8,3,8,1,10,1
7,1,75,80,3,7,3,3,1,10,1
7,0,64,68,3,8,3,4,4,7,1
1,2,75,100,10,7,2,9,10,7,1
3,3,70,70,6,8,3,5,6,6,1
5,3,70,52,9,4,2,9,6,2,1
3,1,41,55,10,8,2,5,5,5,1
5,3,58,81,1,4,2,5,4,6,1
6,2,92,51,6,8,1,9,2,6,1
2,3,51,73,9,8,4,6,7,10,1
6,2,49,94,4,8,5,3,6,6,1
6,0,70,76,10,4,2,5,7,6,1
2,0,84,58,3,8,3,1,3,1,0
3,2,61,62,6,8,2,9,1,4,0
7,1,62,63,6,5,5,10,1,1,0
3,3,91,100,2,4,0,10,4,3,1
5,1,62,60,5,6,1,7,4,2,1
1,3,54,63,1,7,3,1,7,2,0
5,0,65,65,9,5,1,4,7,6,1
1,0,42,59,9,8,1,2,4,1,0
6,0,62,69,3,6,0,3,7,4,1
2,3,59,65,5,6,2,4,8,9,1
6,0,84,83,3,8,3,2,9,3,1
0,0,79,65,7,8,4,10,6,8,0
3,0,96,63,1,5,1,1,4,9,0
1,0,78,77,5,4,5,4,10,2,0
5,1,95,67,6,5,4,9,2,5,0
2,0,47,75,7,4,4,9,9,6,0
1,0,57,87,3,6,2,9,7,5,0
5,1,80,56,7,7,4,3,6,6,1
3,1,45,94,4,8,3,1,4,5,1
6,3,66,83,10,5,2,1,4,7,1
3,2,75,96,6,6,5,3,2,5,1
4,0,54,98,5,5,4,10,1,5,0
0,0,76,94,4,4,2,8,5,7,0
4,0,97,56,6,8,3,4,6,3,1
2,3,44,82,3,4,1,8,10,10,1
1,0,78,84,3,4,0,7,9,7,0
2,2,48,99,5,4,2,8,1,8,0
6,1,46,88,5,6,5,2,5,5,1
5,3,80,70,9,8,0,8,5,4,1
3,1,59,98,4,7,1,9,9,2,1
4,0,49,77,5,5,5,10,4,5,0
7,0,65,81,9,4,3,6,3,6,1
4,0,43,93,4,8,5,3,3,9,0
6,2,77,65,3,5,1,7,6,6,1
4,2,63,59,7,8,0,9,1,6,1
6,3,53,72,7,5,3,8,1,6,1
7,1,80,97,8,8,5,8,1,8,1
2,0,40,99,4,7,4,7,7,6,0
3,0,56,64,4,8,4,5,5,1,0
1,0,84,92,9,8,2,2,9,1,1
5,0,63,99,10,4,4,5,3,10,1
1,2,66,55,7,4,5,5,6,2,0
2,1,46,82,3,4,0,2,7,1,0
5,1,48,88,9,8,4,10,3,3,0
4,3,82,61,5,7,2,1,9,3,1
7,2,74,85,4,5,3,5,2,4,1
7,0,97,80,1,4,4,6,7,6,0
0,1,51,59,9,6,2,7,10,10,1
2,1,60,83,6,8,4,2,4,7,1
2,2,42,90,2,7,4,6,9,9,1
3,3,54,59,7,7,5,8,7,8,1
1,3,60,60,3,4,0,6,8,6,1
2,0,49,63,6,4,2,3,10,9,0
2,3,72,52,8,6,2,3,3,4,1
4,1,85,82,3,6,1,7,6,6,1
4,3,98,56,5,4,1,2,4,7,1
5,0,91,53,6,5,2,3,4,2,0
6,1,45,88,1,4,5,7,2,1,0
6,3,41,97,10,4,0,9,10,10,1
0,3,68,59,7,7,4,1,9,8,1
6,2,94,64,4,4,3,5,1,8,1
3,0,79,65,10,4,5,2,1,7,0
0,3,72,87,7,4,4,5,7,9,1
5,2,43,53,7,5,3,6,10,9,1
4,1,98,53,5,7,0,8,7,3,1
6,2,43,85,8,8,1,7,4,1,1
1,2,68,76,8,8,2,5,8,9,1
4,3,76,71,5,8,0,5,5,1,1
7,3,99,71,5,8,3,2,6,1,1
3,3,99,66,7,7,5,6,4,5,1
4,2,59,94,6,4,2,3,3,2,1
3,1,80,83,4,8,3,6,2,2,0
3,0,62,81,2,4,4,3,8,5,0
3,2,84,55,8,8,4,2,5,7,1
5,3,57,82,3,5,5,8,10,6,1
3,0,88,57,2,4,4,4,6,5,0
3,1,64,99,10,7,2,5,6,3,1
7,0,40,85,7,5,1,9,4,9,1
1,3,93,54,10,5,1,4,9,8,1
0,2,54,54,6,7,3,1,7,3,0
2,2,73,96,8,5,1,6,10,7,1
7,3,87,59,6,4,1,5,8,3,1
0,2,59,89,7,6,3,10,7,6,0
3,3,93,56,2,6,3,3,4,3,1
1,2,76,61,10,8,3,5,9,8,1
4,2,66,79,2,8,2,8,2,3,0
1,2,61,74,6,4,3,1,5,5,0
7,1,90,77,9,7,2,4,2,3,1
3,1,44,92,3,4,2,3,8,8,1
1,3,73,62,10,8,2,4,9,10,1
6,1,78,96,8,5,3,2,3,9,1
1,3,42,98,5,4,1,2,5,6,1
3,0,56,71,6,4,5,2,9,10,0
5,0,63,67,6,7,5,3,6,4,0
6,1,63,76,10,8,1,9,3,10,1
1,0,42,57,3,4,3,5,6,4,0
2,0,84,55,5,5,1,4,9,5,0
2,2,46,60,1,5,3,4,10,3,0
1,2,64,78,2,6,2,3,7,4,1
5,3,95,90,10,8,4,9,4,4,1
4,0,42,54,3,5,0,10,4,1,0
3,3,54,56,4,7,5,1,1,1,0
2,3,68,71,9,8,3,6,3,9,1
4,0,89,96,1,5,2,4,9,3,0
1,1,68,53,3,4,4,8,1,5,0
7,0,49,81,3,8,2,7,2,2,0
4,2,71,68,6,5,0,3,2,1,1
6,0,62,94,5,4,5,5,8,7,0
0,1,78,82,3,6,1,4,6,10,1
2,3,48,50,4,8,1,4,7,9,1
1,3,76,95,7,8,2,10,4,4,1
7,2,91,90,3,5,0,8,4,4,1
3,2,79,93,9,6,2,9,4,3,1
7,2,53,99,8,7,1,4,6,3,1
5,3,43,90,2,5,2,2,4,2,1
6,2,59,57,5,5,4,1,1,3,1
1,0,67,81,4,7,0,10,1,5,0
3,3,53,79,5,7,1,4,8,8,1
5,1,83,95,3,7,5,8,2,8,0
5,3,73,77,10,7,5,5,9,5,1
1,0,52,90,1,7,2,2,10,1,0
6,0,70,81,8,4,0,4,8,10,1
4,2,72,74,9,4,2,4,1,2,1
4,3,91,83,8,7,1,10,10,8,1
5,3,78,82,4,6,0,5,8,10,1
4,3,67,62,2,6,1,2,9,9,1
0,1,64,74,4,7,4,7,4,7,0
5,2,71,91,9,4,4,5,7,9,1
5,0,48,89,10,6,5,4,4,9,1
3,0,67,88,9,4,3,8,3,6,0
4,2,97,93,5,5,0,2,1,6,1
6,0,70,98,5,4,4,1,2,7,1
5,0,56,93,10,7,3,6,7,1,1
7,2,92,97,3,8,5,10,6,9,1
6,0,62,59,6,7,0,10,8,1,1
0,3,52,80,7,5,1,8,3,8,1
3,1,94,93,10,4,2,7,6,10,1
1,2,49,60,9,6,2,9,6,2,0
