age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
47,"blue-collar","married","unknown",1,306,0,1,"unknown",5,"may",13,1,-1,0,"unknown",1
40,"blue-collar","single","unknown",1,24,0,1,"unknown",5,"may",185,1,-1,0,"unknown",1
46,"services","married","primary",1,179,0,1,"unknown",5,"may",1778,1,-1,0,"unknown",1
32,"admin.","married","tertiary",1,0,0,1,"unknown",5,"may",138,1,-1,0,"unknown",1
53,"technician","divorced","secondary",1,989,0,1,"unknown",5,"may",812,1,-1,0,"unknown",1
57,"blue-collar","married","primary",1,249,0,1,"unknown",5,"may",164,1,-1,0,"unknown",1
33,"services","married","secondary",1,790,0,1,"unknown",5,"may",391,1,-1,0,"unknown",1
49,"blue-collar","married","unknown",1,154,0,1,"unknown",5,"may",357,1,-1,0,"unknown",1
51,"management","married","tertiary",1,6530,0,1,"unknown",5,"may",91,1,-1,0,"unknown",1
60,"retired","married","tertiary",1,100,1,1,"unknown",5,"may",528,1,-1,0,"unknown",1
59,"management","divorced","tertiary",1,59,0,1,"unknown",5,"may",273,1,-1,0,"unknown",1
55,"technician","married","secondary",1,1205,0,1,"unknown",5,"may",158,2,-1,0,"unknown",1
35,"blue-collar","single","secondary",1,12223,0,0,"unknown",5,"may",177,1,-1,0,"unknown",1
57,"blue-collar","married","secondary",1,5935,0,0,"unknown",5,"may",258,1,-1,0,"unknown",1
31,"services","married","secondary",1,25,0,0,"unknown",5,"may",172,1,-1,0,"unknown",1
54,"management","married","secondary",1,282,0,0,"unknown",5,"may",154,1,-1,0,"unknown",1
55,"blue-collar","married","primary",1,23,0,1,"unknown",5,"may",291,1,-1,0,"unknown",1
43,"technician","married","secondary",1,1937,0,1,"unknown",5,"may",181,1,-1,0,"unknown",1
53,"technician","married","secondary",1,384,0,1,"unknown",5,"may",176,1,-1,0,"unknown",1
44,"blue-collar","married","secondary",1,582,1,0,"unknown",5,"may",211,1,-1,0,"unknown",1
55,"services","divorced","secondary",1,91,1,1,"unknown",5,"may",349,1,-1,0,"unknown",1
49,"services","divorced","secondary",1,0,0,0,"unknown",5,"may",272,1,-1,0,"unknown",1
55,"services","divorced","secondary",0,1,0,1,"unknown",5,"may",208,1,-1,0,"unknown",1
45,"admin.","single","secondary",1,206,0,1,"unknown",5,"may",193,1,-1,0,"unknown",1
47,"services","divorced","secondary",1,164,1,1,"unknown",5,"may",212,1,-1,0,"unknown",1
42,"technician","single","secondary",1,690,0,1,"unknown",5,"may",20,1,-1,0,"unknown",1
59,"admin.","married","secondary",1,2343,0,1,"unknown",5,"may",1042,1,-1,0,"unknown",0
46,"self-employed","married","tertiary",1,137,0,0,"unknown",5,"may",246,1,-1,0,"unknown",1
51,"blue-collar","married","primary",1,173,0,1,"unknown",5,"may",529,2,-1,0,"unknown",1
56,"admin.","married","secondary",1,45,1,1,"unknown",5,"may",1467,1,-1,0,"unknown",0
41,"technician","married","secondary",1,1270,0,1,"unknown",5,"may",1389,1,-1,0,"unknown",0
46,"management","divorced","secondary",1,16,0,0,"unknown",5,"may",188,2,-1,0,"unknown",1
57,"retired","married","secondary",1,486,0,1,"unknown",5,"may",180,2,-1,0,"unknown",1
42,"management","single","secondary",1,50,1,1,"unknown",5,"may",48,1,-1,0,"unknown",1
30,"technician","married","secondary",1,152,0,0,"unknown",5,"may",213,2,-1,0,"unknown",1
60,"admin.","married","secondary",1,290,0,1,"unknown",5,"may",583,1,-1,0,"unknown",1
60,"blue-collar","married","unknown",1,54,0,1,"unknown",5,"may",221,1,-1,0,"unknown",1
57,"entrepreneur","divorced","secondary",1,-37,1,1,"unknown",5,"may",173,1,-1,0,"unknown",1
36,"management","married","tertiary",1,101,0,0,"unknown",5,"may",426,1,-1,0,"unknown",1
55,"blue-collar","married","secondary",1,383,1,1,"unknown",5,"may",287,1,-1,0,"unknown",1
60,"retired","married","tertiary",1,81,0,1,"unknown",5,"may",101,1,-1,0,"unknown",1
39,"technician","married","secondary",1,0,0,1,"unknown",5,"may",203,1,-1,0,"unknown",1
46,"management","married","tertiary",1,229,0,1,"unknown",5,"may",197,1,-1,0,"unknown",1
44,"blue-collar","married","secondary",1,-674,0,1,"unknown",5,"may",257,1,-1,0,"unknown",1
53,"blue-collar","married","primary",1,90,1,1,"unknown",5,"may",124,1,-1,0,"unknown",1
52,"blue-collar","married","primary",1,128,0,1,"unknown",5,"may",229,1,-1,0,"unknown",1
59,"blue-collar","married","primary",1,179,0,1,"unknown",5,"may",55,3,-1,0,"unknown",1
27,"technician","single","tertiary",1,0,0,1,"unknown",5,"may",400,1,-1,0,"unknown",1
44,"blue-collar","married","secondary",1,54,0,1,"unknown",5,"may",197,1,-1,0,"unknown",1
47,"technician","married","tertiary",1,151,0,1,"unknown",5,"may",190,1,-1,0,"unknown",1
34,"admin.","married","secondary",1,61,1,0,"unknown",5,"may",21,1,-1,0,"unknown",1
59,"retired","single","secondary",1,30,0,1,"unknown",5,"may",514,1,-1,0,"unknown",1
45,"management","married","tertiary",1,523,0,1,"unknown",5,"may",849,2,-1,0,"unknown",1
29,"services","divorced","secondary",1,31,0,1,"unknown",5,"may",194,1,-1,0,"unknown",1
46,"technician","divorced","secondary",1,79,1,1,"unknown",5,"may",144,1,-1,0,"unknown",1
56,"self-employed","married","primary",1,-34,0,0,"unknown",5,"may",212,2,-1,0,"unknown",1
36,"blue-collar","married","primary",1,448,0,1,"unknown",5,"may",286,1,-1,0,"unknown",1
59,"retired","divorced","primary",1,81,0,1,"unknown",5,"may",107,1,-1,0,"unknown",1
44,"blue-collar","married","secondary",1,144,0,1,"unknown",5,"may",247,2,-1,0,"unknown",1
41,"admin.","married","secondary",1,351,0,1,"unknown",5,"may",518,1,-1,0,"unknown",1
33,"management","single","tertiary",1,-67,0,1,"unknown",5,"may",364,1,-1,0,"unknown",1
59,"management","divorced","tertiary",1,262,1,1,"unknown",5,"may",178,1,-1,0,"unknown",1
57,"technician","married","primary",1,0,1,1,"unknown",5,"may",98,1,-1,0,"unknown",1
56,"technician","divorced","unknown",1,56,0,1,"unknown",5,"may",439,1,-1,0,"unknown",1
51,"blue-collar","married","secondary",1,26,0,1,"unknown",5,"may",79,1,-1,0,"unknown",1
34,"admin.","married","unknown",1,3,0,1,"unknown",5,"may",120,3,-1,0,"unknown",1
43,"services","married","secondary",1,41,0,0,"unknown",5,"may",127,2,-1,0,"unknown",1
52,"technician","married","tertiary",1,7,1,0,"unknown",5,"may",175,1,-1,0,"unknown",1
33,"technician","single","secondary",1,105,0,1,"unknown",5,"may",262,2,-1,0,"unknown",1
29,"admin.","single","secondary",1,818,0,0,"unknown",5,"may",61,1,-1,0,"unknown",1
34,"services","married","secondary",1,-16,0,0,"unknown",5,"may",78,1,-1,0,"unknown",1
31,"blue-collar","married","secondary",1,0,0,1,"unknown",5,"may",143,1,-1,0,"unknown",1
55,"services","married","secondary",1,2476,0,1,"unknown",5,"may",579,1,-1,0,"unknown",0
55,"management","married","unknown",1,1185,1,1,"unknown",5,"may",677,1,-1,0,"unknown",1
32,"admin.","single","secondary",1,217,0,1,"unknown",5,"may",345,1,-1,0,"unknown",1
38,"technician","single","secondary",1,1685,0,1,"unknown",5,"may",185,1,-1,0,"unknown",1
55,"admin.","single","secondary",1,802,0,0,"unknown",5,"may",100,2,-1,0,"unknown",1
28,"unemployed","single","tertiary",1,0,0,1,"unknown",5,"may",125,2,-1,0,"unknown",1
23,"blue-collar","married","secondary",1,94,0,1,"unknown",5,"may",193,1,-1,0,"unknown",1
32,"technician","single","secondary",1,0,0,1,"unknown",5,"may",136,1,-1,0,"unknown",1
43,"services","single","unknown",1,0,1,1,"unknown",5,"may",73,1,-1,0,"unknown",1
32,"blue-collar","married","secondary",1,517,0,1,"unknown",5,"may",528,1,-1,0,"unknown",1
46,"blue-collar","married","secondary",1,265,0,1,"unknown",5,"may",541,1,-1,0,"unknown",1
53,"housemaid","divorced","primary",1,947,0,1,"unknown",5,"may",163,1,-1,0,"unknown",1
34,"self-employed","single","secondary",1,3,0,1,"unknown",5,"may",301,1,-1,0,"unknown",1
57,"unemployed","married","tertiary",1,42,1,1,"unknown",5,"may",46,1,-1,0,"unknown",1
37,"blue-collar","married","secondary",1,37,0,1,"unknown",5,"may",204,1,-1,0,"unknown",1
59,"blue-collar","married","secondary",1,57,0,1,"unknown",5,"may",98,1,-1,0,"unknown",1
33,"services","married","secondary",1,22,0,1,"unknown",5,"may",71,1,-1,0,"unknown",1
56,"blue-collar","divorced","primary",1,8,0,1,"unknown",5,"may",157,2,-1,0,"unknown",1
48,"unemployed","married","secondary",1,293,0,1,"unknown",5,"may",243,1,-1,0,"unknown",1
43,"services","married","primary",1,3,0,1,"unknown",5,"may",186,2,-1,0,"unknown",1
54,"blue-collar","married","primary",1,348,0,1,"unknown",5,"may",579,2,-1,0,"unknown",1
51,"blue-collar","married","unknown",1,-19,0,1,"unknown",5,"may",163,2,-1,0,"unknown",1
26,"student","single","secondary",1,0,0,1,"unknown",5,"may",610,2,-1,0,"unknown",1
40,"management","married","tertiary",1,-4,0,1,"unknown",5,"may",2033,1,-1,0,"unknown",1
39,"management","married","secondary",1,18,0,1,"unknown",5,"may",85,1,-1,0,"unknown",1
50,"technician","married","primary",1,139,1,1,"unknown",5,"may",114,2,-1,0,"unknown",1
41,"services","married","secondary",1,0,0,1,"unknown",5,"may",114,2,-1,0,"unknown",1
51,"blue-collar","married","unknown",1,1883,0,1,"unknown",5,"may",57,1,-1,0,"unknown",1
60,"retired","divorced","secondary",1,216,0,1,"unknown",5,"may",238,1,-1,0,"unknown",1
52,"blue-collar","married","secondary",1,782,0,1,"unknown",5,"may",93,3,-1,0,"unknown",1
48,"blue-collar","married","secondary",1,904,0,1,"unknown",5,"may",128,2,-1,0,"unknown",1
48,"services","married","unknown",1,1705,0,1,"unknown",5,"may",107,1,-1,0,"unknown",1
39,"technician","single","tertiary",1,47,0,1,"unknown",5,"may",181,1,-1,0,"unknown",1
47,"services","single","secondary",1,176,0,1,"unknown",5,"may",303,2,-1,0,"unknown",1
40,"blue-collar","married","secondary",1,1225,0,1,"unknown",5,"may",558,5,-1,0,"unknown",1
45,"technician","married","secondary",1,86,0,1,"unknown",5,"may",270,1,-1,0,"unknown",1
26,"admin.","single","secondary",1,82,0,1,"unknown",5,"may",228,1,-1,0,"unknown",1
52,"management","married","tertiary",1,271,0,1,"unknown",5,"may",99,1,-1,0,"unknown",1
54,"technician","married","secondary",1,1378,0,1,"unknown",5,"may",240,1,-1,0,"unknown",1
54,"admin.","married","tertiary",1,184,1,1,"unknown",5,"may",673,2,-1,0,"unknown",0
50,"blue-collar","married","primary",1,0,1,1,"unknown",5,"may",233,3,-1,0,"unknown",1
35,"blue-collar","married","secondary",1,0,0,1,"unknown",5,"may",1056,1,-1,0,"unknown",1
44,"services","married","secondary",1,1357,0,0,"unknown",5,"may",250,1,-1,0,"unknown",1
53,"entrepreneur","married","unknown",1,19,0,1,"unknown",5,"may",252,1,-1,0,"unknown",1
35,"retired","single","primary",1,434,1,1,"unknown",5,"may",138,1,-1,0,"unknown",1
60,"admin.","divorced","secondary",1,92,0,1,"unknown",5,"may",130,1,-1,0,"unknown",1
53,"admin.","divorced","secondary",1,1151,0,1,"unknown",5,"may",412,1,-1,0,"unknown",1
48,"unemployed","married","secondary",1,41,0,1,"unknown",5,"may",179,2,-1,0,"unknown",1
34,"technician","married","secondary",1,51,0,1,"unknown",5,"may",19,2,-1,0,"unknown",1
54,"services","married","secondary",1,214,0,1,"unknown",5,"may",458,2,-1,0,"unknown",1
51,"management","married","secondary",1,1161,0,1,"unknown",5,"may",717,1,-1,0,"unknown",1
31,"services","married","tertiary",1,37,0,1,"unknown",5,"may",313,1,-1,0,"unknown",1
35,"technician","divorced","secondary",1,787,0,1,"unknown",5,"may",683,2,-1,0,"unknown",1
35,"services","married","secondary",1,59,0,1,"unknown",5,"may",1077,1,-1,0,"unknown",1
38,"technician","married","secondary",1,253,0,1,"unknown",5,"may",416,1,-1,0,"unknown",1
36,"admin.","married","tertiary",1,211,0,1,"unknown",5,"may",146,2,-1,0,"unknown",1
58,"retired","married","primary",1,235,0,1,"unknown",5,"may",167,1,-1,0,"unknown",1
40,"services","divorced","unknown",1,4384,0,1,"unknown",5,"may",315,1,-1,0,"unknown",1
54,"management","married","secondary",1,4080,1,1,"unknown",5,"may",140,1,-1,0,"unknown",1
34,"blue-collar","single","secondary",1,53,0,0,"unknown",5,"may",346,1,-1,0,"unknown",1
31,"management","single","tertiary",1,0,0,1,"unknown",5,"may",562,1,-1,0,"unknown",1
51,"retired","married","secondary",1,2127,0,1,"unknown",5,"may",172,1,-1,0,"unknown",1
33,"management","married","tertiary",1,377,0,1,"unknown",5,"may",217,1,-1,0,"unknown",1
55,"management","married","tertiary",1,73,0,1,"unknown",5,"may",142,2,-1,0,"unknown",1
42,"admin.","married","secondary",1,445,0,1,"unknown",5,"may",67,1,-1,0,"unknown",1
34,"blue-collar","married","secondary",1,243,0,1,"unknown",5,"may",291,1,-1,0,"unknown",1
33,"blue-collar","single","secondary",1,307,0,1,"unknown",5,"may",309,2,-1,0,"unknown",1
38,"services","married","secondary",1,155,0,1,"unknown",5,"may",248,1,-1,0,"unknown",1
50,"technician","divorced","tertiary",1,173,1,0,"unknown",5,"may",98,1,-1,0,"unknown",1
43,"management","married","tertiary",1,400,0,1,"unknown",5,"may",256,1,-1,0,"unknown",1
61,"blue-collar","divorced","primary",1,1428,0,1,"unknown",5,"may",82,2,-1,0,"unknown",1
47,"admin.","married","secondary",1,219,0,1,"unknown",5,"may",577,1,-1,0,"unknown",1
48,"self-employed","married","tertiary",1,7,0,1,"unknown",5,"may",286,1,-1,0,"unknown",1
44,"blue-collar","married","secondary",1,575,0,1,"unknown",5,"may",477,1,-1,0,"unknown",1
35,"student","single","unknown",1,298,0,1,"unknown",5,"may",611,2,-1,0,"unknown",1
35,"services","married","secondary",1,0,0,1,"unknown",5,"may",471,1,-1,0,"unknown",1
50,"services","married","secondary",1,5699,0,1,"unknown",5,"may",381,2,-1,0,"unknown",1
41,"management","married","tertiary",1,176,0,0,"unknown",5,"may",42,1,-1,0,"unknown",1
41,"management","married","tertiary",1,517,0,1,"unknown",5,"may",251,1,-1,0,"unknown",1
39,"services","single","unknown",1,257,0,1,"unknown",5,"may",408,1,-1,0,"unknown",1
42,"retired","married","secondary",1,56,0,1,"unknown",5,"may",215,1,-1,0,"unknown",1
38,"blue-collar","married","secondary",1,-390,0,1,"unknown",5,"may",287,1,-1,0,"unknown",1
53,"retired","married","secondary",1,330,0,1,"unknown",5,"may",216,2,-1,0,"unknown",1
59,"housemaid","divorced","primary",1,195,1,1,"unknown",5,"may",366,2,-1,0,"unknown",1
36,"services","married","secondary",1,301,0,1,"unknown",5,"may",210,1,-1,0,"unknown",1
54,"blue-collar","married","primary",1,-41,0,1,"unknown",5,"may",288,1,-1,0,"unknown",1
40,"technician","married","tertiary",1,483,0,1,"unknown",5,"may",168,1,-1,0,"unknown",1
47,"unknown","married","unknown",1,28,1,1,"unknown",5,"may",338,2,-1,0,"unknown",1
53,"unemployed","married","unknown",1,13,1,1,"unknown",5,"may",410,3,-1,0,"unknown",1
46,"housemaid","married","primary",1,965,1,1,"unknown",5,"may",177,1,-1,0,"unknown",1
39,"management","married","tertiary",1,378,0,0,"unknown",5,"may",127,2,-1,0,"unknown",1
40,"unemployed","married","secondary",1,219,0,1,"unknown",5,"may",357,1,-1,0,"unknown",1
28,"blue-collar","married","primary",1,324,0,1,"unknown",5,"may",175,1,-1,0,"unknown",1
35,"entrepreneur","divorced","secondary",1,-69,0,1,"unknown",5,"may",300,1,-1,0,"unknown",1
55,"retired","married","secondary",1,0,1,0,"unknown",5,"may",136,1,-1,0,"unknown",1
43,"technician","divorced","unknown",1,205,0,1,"unknown",5,"may",1419,1,-1,0,"unknown",1
48,"blue-collar","married","primary",1,278,0,1,"unknown",5,"may",125,2,-1,0,"unknown",1
58,"management","married","unknown",1,1065,0,1,"unknown",5,"may",213,3,-1,0,"unknown",1
33,"management","single","tertiary",1,34,0,1,"unknown",5,"may",27,1,-1,0,"unknown",1
36,"blue-collar","married","unknown",1,1033,1,1,"unknown",5,"may",238,2,-1,0,"unknown",1
53,"services","divorced","secondary",1,1467,0,1,"unknown",5,"may",124,1,-1,0,"unknown",1
47,"blue-collar","married","primary",1,-12,0,1,"unknown",5,"may",18,1,-1,0,"unknown",1
31,"services","married","secondary",1,388,0,1,"unknown",5,"may",730,2,-1,0,"unknown",1
57,"entrepreneur","married","secondary",1,294,0,1,"unknown",5,"may",746,2,-1,0,"unknown",1
53,"blue-collar","married","unknown",1,1827,1,1,"unknown",5,"may",121,1,-1,0,"unknown",1
55,"blue-collar","married","primary",1,627,0,1,"unknown",5,"may",247,1,-1,0,"unknown",1
45,"blue-collar","married","primary",1,25,0,1,"unknown",5,"may",40,1,-1,0,"unknown",1
53,"admin.","divorced","secondary",1,315,0,1,"unknown",5,"may",181,2,-1,0,"unknown",1
37,"blue-collar","married","primary",1,0,0,1,"unknown",5,"may",79,1,-1,0,"unknown",1
44,"admin.","divorced","secondary",1,66,0,1,"unknown",5,"may",206,1,-1,0,"unknown",1
49,"blue-collar","divorced","primary",1,-9,0,0,"unknown",5,"may",389,1,-1,0,"unknown",1
46,"technician","married","secondary",1,349,0,0,"unknown",5,"may",127,1,-1,0,"unknown",1
43,"entrepreneur","married","unknown",1,100,0,1,"unknown",5,"may",702,1,-1,0,"unknown",1
38,"admin.","married","secondary",1,0,1,1,"unknown",5,"may",151,1,-1,0,"unknown",1
43,"technician","married","secondary",1,434,0,1,"unknown",5,"may",117,1,-1,0,"unknown",1
49,"management","married","tertiary",1,3237,0,1,"unknown",5,"may",232,3,-1,0,"unknown",1
42,"management","married","unknown",1,275,1,1,"unknown",5,"may",408,2,-1,0,"unknown",1
22,"blue-collar","single","secondary",1,0,0,1,"unknown",5,"may",179,2,-1,0,"unknown",1
40,"management","married","tertiary",1,207,0,1,"unknown",5,"may",39,1,-1,0,"unknown",1
39,"blue-collar","married","secondary",1,483,0,1,"unknown",5,"may",282,1,-1,0,"unknown",1
51,"services","married","secondary",1,2248,0,1,"unknown",5,"may",714,2,-1,0,"unknown",1
49,"admin.","married","secondary",1,428,0,1,"unknown",5,"may",50,1,-1,0,"unknown",1
53,"blue-collar","married","secondary",1,0,0,0,"unknown",5,"may",181,1,-1,0,"unknown",1
34,"services","single","secondary",1,0,0,1,"unknown",5,"may",142,1,-1,0,"unknown",1
33,"technician","divorced","secondary",1,140,0,1,"unknown",5,"may",227,1,-1,0,"unknown",1
50,"management","single","tertiary",1,297,0,1,"unknown",5,"may",119,1,-1,0,"unknown",1
39,"blue-collar","married","primary",1,279,0,1,"unknown",5,"may",361,1,-1,0,"unknown",1
59,"entrepreneur","divorced","secondary",1,901,0,1,"unknown",5,"may",73,3,-1,0,"unknown",1
30,"technician","single","secondary",1,2573,0,1,"unknown",5,"may",67,2,-1,0,"unknown",1
36,"services","married","secondary",1,143,0,0,"unknown",5,"may",350,1,-1,0,"unknown",1
40,"blue-collar","married","secondary",1,475,0,1,"unknown",5,"may",332,2,-1,0,"unknown",1
53,"blue-collar","married","secondary",1,70,0,1,"unknown",5,"may",611,2,-1,0,"unknown",1
34,"management","single","tertiary",1,318,0,1,"unknown",5,"may",113,2,-1,0,"unknown",1
37,"technician","married","secondary",1,275,0,1,"unknown",5,"may",132,1,-1,0,"unknown",1
42,"management","divorced","tertiary",1,742,0,1,"unknown",5,"may",58,3,-1,0,"unknown",1
41,"entrepreneur","married","primary",1,236,0,1,"unknown",5,"may",151,1,-1,0,"unknown",1
30,"student","single","tertiary",1,25,0,1,"unknown",5,"may",89,2,-1,0,"unknown",1
37,"management","single","tertiary",1,600,0,1,"unknown",5,"may",152,1,-1,0,"unknown",1
39,"admin.","divorced","secondary",1,-349,0,1,"unknown",5,"may",611,2,-1,0,"unknown",1
41,"blue-collar","married","primary",1,183,0,0,"unknown",5,"may",110,2,-1,0,"unknown",1
40,"blue-collar","married","primary",1,0,0,1,"unknown",5,"may",463,1,-1,0,"unknown",1
42,"management","single","tertiary",1,0,0,0,"unknown",5,"may",562,2,-1,0,"unknown",0
40,"blue-collar","divorced","primary",1,0,0,1,"unknown",5,"may",962,1,-1,0,"unknown",1
57,"technician","married","secondary",1,1078,0,1,"unknown",5,"may",10,4,-1,0,"unknown",1
56,"entrepreneur","divorced","secondary",1,155,1,1,"unknown",5,"may",118,3,-1,0,"unknown",1
37,"admin.","married","secondary",1,190,0,1,"unknown",5,"may",92,2,-1,0,"unknown",1
59,"retired","married","secondary",1,319,0,1,"unknown",5,"may",143,3,-1,0,"unknown",1
39,"services","divorced","secondary",1,-185,0,1,"unknown",5,"may",189,3,-1,0,"unknown",1
49,"services","married","secondary",1,47,1,1,"unknown",5,"may",234,2,-1,0,"unknown",1
38,"services","single","secondary",1,570,0,1,"unknown",5,"may",75,2,-1,0,"unknown",1
36,"self-employed","married","tertiary",1,19,1,1,"unknown",5,"may",189,2,-1,0,"unknown",1
50,"blue-collar","married","primary",1,61,0,1,"unknown",5,"may",621,3,-1,0,"unknown",1
41,"admin.","married","secondary",1,-62,0,0,"unknown",5,"may",55,2,-1,0,"unknown",1
54,"technician","married","tertiary",1,258,1,1,"unknown",5,"may",310,4,-1,0,"unknown",1
58,"blue-collar","married","primary",1,76,0,1,"unknown",5,"may",156,2,-1,0,"unknown",1
30,"blue-collar","single","secondary",1,0,0,1,"unknown",5,"may",5,2,-1,0,"unknown",1
33,"admin.","single","secondary",1,352,0,1,"unknown",5,"may",225,2,-1,0,"unknown",1
47,"admin.","married","secondary",1,368,0,1,"unknown",5,"may",125,2,-1,0,"unknown",1
50,"technician","single","tertiary",1,339,0,1,"unknown",5,"may",2,3,-1,0,"unknown",1
32,"blue-collar","married","secondary",1,1331,0,1,"unknown",5,"may",286,2,-1,0,"unknown",1
40,"self-employed","married","secondary",1,672,0,1,"unknown",5,"may",164,2,-1,0,"unknown",1
37,"management","married","tertiary",1,58,0,1,"unknown",5,"may",98,2,-1,0,"unknown",1
54,"technician","single","unknown",1,447,0,1,"unknown",5,"may",742,2,-1,0,"unknown",1
24,"student","single","secondary",1,423,0,1,"unknown",5,"may",226,3,-1,0,"unknown",1
54,"management","married","tertiary",1,0,1,1,"unknown",5,"may",120,2,-1,0,"unknown",1
